userName,content,score,reviewCreatedVersion,at,Sentimen (Aurel),Sentimen (Ade),Sentimen (Eky),Sentimen Akhir,translated_content
Sani Habibulohsuryadi,Sangat membantu,5,4.2.3,2022-12-30 09:22:13,1.0,1.0,1.0,Positif,Very helpful.
Yulia Nofiana,Semakin mudah untuk pengaplikasian nya,5,4.2.3,2023-01-01 09:42:12,1.0,1.0,1.0,Positif,It's getting easier to apply.
Mirza mrz,Lumayan,5,4.2.3,2022-12-18 05:16:14,0.0,1.0,1.0,Positif,Not bad
Diana Patrisna,Gampang dan mudah aplikasi nya,5,4.2.3,2022-10-19 05:13:48,1.0,1.0,1.0,Positif,Easy and easy on the app.
Riza Akbar,Terima kasih... Sangat membantu dan mudah,5,4.2.3,2022-12-07 02:32:28,1.0,1.0,1.0,Positif,Thank you... very helpful and easy
Yuli Yanti,Aplikasinya sangat bagus . mempermudah saya membuat BPJS PBI APBN DARI PEMERINTAH cepat berhasil . terimakasih banyak Mobile JKN ..,5,4.3.0,2023-01-12 00:07:46,1.0,1.0,1.0,Positif,The application is very good. Makes it easier for me to make BPJS PBl APBN from the government quickly succeed. Thank you very much.
Iren Sanjaya,"Sangat membantu,good job👍👍👍",5,4.2.3,2022-01-01 08:17:00,1.0,1.0,1.0,Positif,"Very helpful, good job"
brigita kristyaningrum,Sejauh ini memudahkan,5,4.3.0,2023-01-02 10:41:46,1.0,1.0,1.0,Positif,"So far, so easy."
Suroso Cmb,"Ini kenapa ya banyak yg di kunci kunci, ribet masa harus daftar dulu tolong di permudah lagi kaya dulu",1,4.2.3,2022-12-03 09:03:05,-1.0,-1.0,-1.0,Negatif,"This is why so many are locked away, it's hard to list first. Please make it easier to get rich first."
Bang ripay,Cukup memuaskan,3,4.2.3,2022-10-18 10:00:22,1.0,1.0,1.0,Positif,Quite satisfactory
Fahmi Basya,Mudah,5,4.3.0,2023-01-05 02:37:12,1.0,1.0,1.0,Positif,"It's easy. It's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy,"
Bayu Wahyu,sangat membantu dan mempermudah 👍👍👍👍👍👍👍,5,4.2.3,2022-10-24 06:49:59,1.0,1.0,1.0,Positif,It's very helpful and it's very easy.
I kadek Ari mustapa,Pelayan d tingkatkan,5,4.3.0,2023-01-30 10:02:19,1.0,1.0,1.0,Positif,Waitress is upgrade
wahyu andriyana,👍🏽,5,4.3.0,2023-01-19 02:27:39,1.0,1.0,1.0,Positif,"counted on the end of the line. - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no."
Su Jono,Alhamdulillah,5,4.2.3,2022-01-05 15:54:00,1.0,1.0,1.0,Positif,Alhamdulillah
dian Lestari,"Mau daftar aja susahnya mintak ampun,",1,4.3.0,2023-01-10 02:46:51,-1.0,-1.0,-1.0,Negatif,You can't even ask for forgiveness on the list.
Fatkul Mukmin,"Gabisa menambahkan email di menu profil ga ada , tolong perbaiki , apk pemerintah kek gini buruk.",3,4.2.3,2022-12-25 12:16:34,-1.0,-1.0,-1.0,Negatif,Can't put an email on the profile menu. Nothing. Please fix it.
Wing Buana,Sangat membantu,4,4.2.3,2022-01-01 22:31:00,1.0,1.0,1.0,Positif,Very helpful.
Fella Zahwa,"Dari keterangan CHIKA suami Sy sdh masuk peserta PBI (APBN),tp Sy ngecek di JKN masih blm ada info peserta,itu bagaimana ya...??",1,4.2.3,2022-12-09 14:12:50,-1.0,-1.0,0.0,Negatif,"From the information Chika's husband has entered the PBI (APBN), but Sy checked at JKN still haven't heard from the participants, that's how it is?"
Donny Meii,Bagus,5,4.2.3,2022-01-15 01:34:00,1.0,1.0,1.0,Positif,Good.
Hamka Baharuddin,sangat bagus dan baik,5,4.2.3,2022-01-01 02:13:00,1.0,1.0,1.0,Positif,It's nice and it's nice and it's nice.
Kas Wadi,Mau tanya klu kartu BPJS hilang solusinya bagaimana??,1,4.2.3,2022-10-19 10:07:15,0.0,0.0,0.0,Netral,You want to ask the BPJS card to lose it how?
ObiFurqon Channel,Sangat sangat meribetkan ... Daftar ke poli gigi penuh terus.. sudak bukan rekomendasi lagi RIBEEEETTTT,1,4.3.0,2022-12-20 03:10:47,-1.0,-1.0,-1.0,Negatif,It's very difficult... to list to the full-toothed poly not to recommend any more RlBEEEETTTT
ber Ton,Bagus,5,4.3.0,2022-12-24 02:04:01,1.0,1.0,1.0,Positif,Good.
Muhammad Ridwan,Memberikan kemudahan bagi masyarakat,5,4.2.3,2022-12-19 23:16:06,1.0,1.0,1.0,Positif,Makes it easy for the public.
iwank iwank,Good jobs mobile JKN sangat membantu,5,4.3.0,2022-12-23 15:46:23,1.0,1.0,1.0,Positif,Good jobs mobile JKN is very helpful
Liza Indriyani,Ok,5,4.3.0,2023-01-13 17:31:34,1.0,1.0,1.0,Positif,Okay.
Ahmad Ahmad,Sat set sat set mantep,5,4.2.3,2022-01-10 02:58:00,1.0,1.0,1.0,Positif,Sat set sat set progress
Bambang Margono,"Sip, usefull",5,4.2.3,2022-12-14 04:25:42,1.0,1.0,1.0,Positif,"Sip, useful"
Nia Rahma,Like it,5,4.2.3,2022-01-29 05:55:00,1.0,1.0,1.0,Positif,Like it
Syarifuddin Amri Ritonga,👍,5,4.2.3,2022-12-21 12:00:51,1.0,1.0,1.0,Positif,"counted on the end of the line. - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no."
Januar Goblin,Aplikasi dak jelas bodoh eror goblog,5,4.2.3,2022-12-17 12:53:08,-1.0,-1.0,-1.0,Negatif,Non-defined stupid goblog error application
Fakih uddin,Good!,5,4.2.3,2022-12-12 12:20:37,1.0,1.0,1.0,Positif,Good!
Novi Yusmiati,"Kenapa setiap kali update aplikasi selalu login lagi ? Kalo yang lupa Pw gimana ? Pdahal udh bgus ad scan sidik jari. Juga setiap ingin liat iuran, masalah jaringan mulu, padahal jaringan saya stabil, aplikasi lainnya msh berjalan lancar² saja.",2,4.2.3,2022-12-01 04:03:43,-1.0,-1.0,-1.0,Negatif,"Why is it that every time an application update is logged in again? &lt;i&gt;When my network is stable, the other application is running smoothly.&lt;/i&gt; &lt;i&gt;I don't know.&lt;/i&gt; &lt;i&gt;I don't know.&lt;/i&gt; &lt;i&gt;I don't know.&lt;/i&gt; &lt;i&gt;I don't know.&gt; &lt;/i&gt; &lt;i&gt;I don't know. &lt;/i&gt;"
Devi TrisnaW,Mantap,5,4.3.0,2023-01-13 02:13:35,1.0,1.0,1.0,Positif,Steady.
Bernadet Dewi,"pengajuan komplain cepat,prubahan data cepat...mantab....",5,4.2.3,2022-10-05 04:20:28,1.0,1.0,1.0,Positif,"A quick complaint of complaint, a quick change of data...tab...."
Karsidi Di,Mantap,5,4.3.0,2022-12-16 07:25:56,1.0,1.0,1.0,Positif,Steady.
Nurfajri Ari,Ok,5,4.3.0,2022-12-17 01:15:00,1.0,1.0,1.0,Positif,Okay.
Koplak Jaya,kenapa kok gk bisa registrasi peserta baru? saat registrasi tgl lahirnya gk keluar,5,4.3.0,2023-01-18 05:02:47,-1.0,-1.0,-1.0,Negatif,"Why can't you register a new participant? When registration isn't born, there's no way out."
Muh kasim Nur,"Sangat membantu sekali,apa lagi perubahan data peserta🙂",5,4.3.0,2023-01-26 01:40:36,1.0,1.0,1.0,Positif,"It's been very helpful, how much more the data changes from the participants."
achy pozesif,"Aplikasi yang sangat membantu, tidak perlu antri lagi di kantor BPJS untuk mutasi atau migrasi data. Terima kasih",5,4.3.0,2023-01-07 01:15:00,1.0,1.0,1.0,Positif,"A very helpful application, no need to line up at the BPJS office for mutation or data migration."
Munajat Jakaria,Kitu weh lah,5,4.2.3,2022-09-29 02:56:25,1.0,0.0,0.0,Netral,That's right.
subur mahali,Oke bgt,5,4.3.0,2023-01-15 23:49:46,1.0,1.0,1.0,Positif,Okay.
Bambang Supeno,Ini gimana.habis di up date kok gak bisa masuk app.minta daftar PIN dulu.maksudnya gimana.,4,4.3.0,2022-12-25 07:39:58,-1.0,-1.0,-1.0,Negatif,This is how it's done. After you can't get on the app. Ask for a PIN list first. What do you mean?
Endang Susilawati,Ok..,5,4.3.0,2023-01-01 13:43:00,1.0,1.0,1.0,Positif,Ok..
Restu Gendut,Pertama kali mencoba pakai,5,4.2.3,2022-12-22 10:40:14,1.0,0.0,0.0,Netral,First try it on.
Hendra Wijaya,Mantap,5,4.2.3,2022-01-21 02:24:00,1.0,1.0,1.0,Positif,Steady.
lucas anggoro,Ok,5,4.2.3,2023-01-02 01:23:00,1.0,1.0,1.0,Positif,"All right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go,"
anton ravandi wahab,Menjadi mudah untuk apapun ubah maupun cek,5,4.2.3,2022-01-01 16:37:00,1.0,1.0,1.0,Positif,Be easy for anything change or check
Erik Azka,Ok,5,4.3.0,2023-01-29 02:13:00,1.0,1.0,1.0,Positif,"All right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, all right, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go,"
EMI ZULIA,🤲🤲🤲🤲🤲,5,4.3.0,2023-01-28 06:28:12,1.0,0.0,1.0,Positif,"counted on the end of the line. - No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no."
Shalikhatun Khasanah,Ini cuma mau ngecek aktif gak nya kartu musti punya hape masing2 kah.. gak bisa cek sekalian satu keluarga gitu?,3,4.2.3,2022-01-10 12:15:00,-1.0,-1.0,-1.0,Negatif,It's just to check if the cards have a phone. Can't you check each other's family?
Arya Putraa,Gajelas mau daftar tulisan nya error' coba lagi hadeuh padahal baru update update nya gimana sih,1,4.2.3,2022-10-01 05:04:00,-1.0,-1.0,-1.0,Negatif,I don't want to list the writing errors' try again despite the update.
Susanto Sinaga,Puasss Dengan aplikasi ini,5,4.3.0,2022-12-24 04:24:56,1.0,1.0,1.0,Positif,Satisfied With this application
Irfan Muhammad,Masih perlu banyak improvement,1,4.3.0,2023-01-08 01:40:00,0.0,0.0,-1.0,Netral,There's still a lot of improvement.
Ipungky ss,Siip,5,4.3.0,2023-01-27 13:05:40,1.0,1.0,1.0,Positif,Siip
Mustafa Hamid,Alhamdulillah sungguh dangat bermampat kami sangat terbantu dlm masalah kesehatan semoga bpjs sukdes terus,5,4.3.0,2022-12-27 09:19:46,1.0,1.0,1.0,Positif,Alhamdulillah. Really and so on. We've been very helpful in health issues.
Adi Sucipto,Sangat puas dan sangat membantu,5,4.2.3,2022-01-13 03:57:00,1.0,1.0,1.0,Positif,So content and so helpful.
Amelia Satria,Terimakasih,5,4.3.0,2023-01-24 04:55:41,1.0,0.0,1.0,Positif,Thank you.
Ferry Prasesa,good,5,4.2.3,2022-10-25 14:17:43,1.0,1.0,1.0,Positif,"That's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, that's good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good, good,"
Murni Saari,"Sdh bagus aplikasi, bisa membantu dan lebih cepat ketika mau ke pkm lagi supaya tdk antri tapi Kenapa setiap mau di pakai selalu minta update??.. 😡😡😡😡😡🤬",1,4.3.0,2023-01-16 14:24:10,0.0,-1.0,-1.0,Negatif,"It's good apps, it helps and faster when it's time to get out of line, but why does everyone want to keep asking for updates?"
Agus Rusli,"Captcha muter2 terus, tolong perbaiki",1,4.3.0,2023-01-10 02:25:12,-1.0,-1.0,-1.0,Negatif,"Just keep coming, please fix it."
Ita Aprilani,Cuma bisa buat daftar sekali doang,1,4.3.0,2023-01-13 14:16:57,1.0,-1.0,-1.0,Negatif,Can only make a list once in a while
achmad chaqiqi,"Bagus, mempermudah mengakses layanana kesehatan...😁",5,4.2.3,2022-12-04 03:02:25,1.0,1.0,1.0,Positif,"Good, easy access to health care..."
Wind Oke,"Ini kenapa dah, habis diupdate mau daftar ke faskes malah keterangan username atau password tida sesuai, padahal sebelum update bisa,.,.",1,4.3.0,2023-01-12 01:19:34,-1.0,-1.0,-1.0,Negatif,"This is why we're up-to-date. Wants to register to faskets instead of username information or passwords don't match, even before updates can,"
imam palmos,TOP,4,4.2.3,2022-01-22 01:42:00,1.0,1.0,1.0,Positif,Top.
Destiari Adidanti,cedera sz🍎🍓😜😍🥱😥🥱🥱👩‍👦😥🥱,2,4.2.3,2022-10-16 21:18:47,,,,,Injured sz
Donny Aryan,Siiip pelayanan nya,5,4.3.0,2023-01-24 04:14:09,1.0,1.0,1.0,Positif,Siip her service
Ainur Rozak,Rumit . Daftar tidak bisa,1,4.3.0,2023-01-25 05:50:40,-1.0,-1.0,-1.0,Negatif,The list can't be complicated.
Rudi Yana,Sangat membantu,1,4.2.3,2022-12-14 21:43:54,1.0,1.0,1.0,Positif,Very helpful.
Yosi Yuniar,Bulan kemarin daftar pelayanan lancar lancar saja. Sekarang mau daftar pelayanan munculnya poli tidak ditemukan. Mohon tindak lanjutnya,2,4.2.3,2022-01-23 14:50:00,0.0,-1.0,-1.0,Negatif,Last month the service list went well and now wants a list of the police appearances not found please follow up
Mualaf 2012,Sangat membantu,5,4.3.0,2023-01-16 03:56:50,1.0,1.0,1.0,Positif,Very helpful.
Mama Brilian,Pakai aplikasi ini lebih simple .bisa..untuk panduan.....untuk konsultasi mapun lain lainnya.,5,4.3.0,2023-01-14 02:23:26,1.0,1.0,1.0,Positif,Use this application to be simpler... to guide... to other math consults.
ayah efghi,Aplikasi bagus dan sangat memudahkan..,5,4.3.0,2023-01-15 03:48:38,1.0,1.0,1.0,Positif,It's a good app and it's very easy.
Cong Manon,response code 06 response desc jam akses tidak sesuai,1,4.2.3,2022-12-25 14:59:58,-1.0,-1.0,-1.0,Negatif,response code 06 response desc hour access does not match
asep mulyadi,Lemah . Tidak bisa di akses . Saat pendaftaran . Tidak ada respon sama sekali,1,4.2.3,2022-10-17 13:27:52,-1.0,-1.0,-1.0,Negatif,"Weak, unable to access the registration, no response at all."
Anggi Prayogo,Good,5,4.2.3,2022-01-26 14:28:00,1.0,1.0,1.0,Positif,Good
jiffi rokaheski,Bagus.. Sangat membantu,5,4.2.3,2022-01-24 02:27:00,1.0,1.0,1.0,Positif,Good.. very helpful.
Usep Haerul,Praktis,5,4.2.3,2022-01-03 02:34:00,1.0,1.0,1.0,Positif,Practical
SELARAS XI,"Ribet ngakses apa"" susah gabisa ... ga kaya bayar dimnapun bisa",1,4.2.3,2022-01-16 05:51:00,-1.0,-1.0,-1.0,Negatif,"It's hard not to be rich, not to be able to pay."
nani dadan,Sangat membantu,5,4.2.3,2022-12-14 13:00:20,1.0,1.0,1.0,Positif,Very helpful.
Gusti Rila Praja,Aplikasi parah sekali daftar tidak bisa error terus,1,4.2.3,2022-01-06 02:43:00,-1.0,-1.0,-1.0,Negatif,The application is very bad. The list cannot continue to error
Isniati Isniati,"FYI kalau mau daftar bafu, harus office hour ya, jam 8 pagi sampai jam 3 sore, selain itu auto gagal :)",5,4.2.3,2022-01-29 01:47:00,0.0,0.0,1.0,Netral,"FYI if you want the bafu list, it has to be the office hour. Yes, 8 a.m. till 3 p.m., besides auto failure:)"
Budi Anto,Mudah dan cepat,5,4.2.3,2022-01-06 09:22:00,1.0,1.0,1.0,Positif,"It's easy, and it's fast, and it's easy, and it's easy, and it's easy, and it's fast, and it's easy, and it's easy, and it's easy, and it's easy, and it's easy, and it's easy, it's easy, and it's easy, and it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's fast, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it'"
Dukcapil Klaten,Jangan lemot,5,4.2.3,2022-10-02 05:58:25,-1.0,0.0,-1.0,Negatif,Don't lemoth
Jangeman Sawnk,Baru pake jadi blm tau kendalanya.. Semoga baik & bagus..,5,4.2.3,2022-01-20 05:01:00,1.0,1.0,1.0,Positif,"I just don't know what's wrong with it, but I hope it's okay. It's okay. It's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay."
Meme Yg Membagongkan,"Tolong dokter yang menangani di puskesmas Bane (Pematangsiantar) khususnya bagian pemeriksaan asam urat agar segera ditindak, soalnya ibu saya disuruh puasa dari jam 22 sampai jam 9 untuk tes asam urat tetapi setelah ditunggu hingga jam 10 lewat, tpi tidak hadir padahal sudah jelas di puskesmas tsbt mengatakan semua dokter telah hadir jam 9 (semua dokter). Alhasil hanya mendapatkan kelaparan saja tanpa adanya pemeriksaan krna lelah menunggu ditambah situasi saat ini sedang hujan🙏.",4,4.2.3,2022-12-01 03:31:50,0.0,0.0,0.0,Netral,"Please see the doctor who deals with Bane's puskemas, especially the gout section to be treated immediately, since my mother was ordered to fast from 22 to 9 for the gout test, but after waiting until 10 o'clock, she didn't show up when it was obvious that all the doctors were present at 9 o'clock (all doctors)."
Wan Jag,mantap,5,4.2.3,2022-09-29 10:00:20,1.0,1.0,1.0,Positif,Steady.
Abdillah 66,"Kenapa verifikasi pke pulsa segala,,",1,4.3.0,2023-01-28 04:14:14,-1.0,-1.0,-1.0,Negatif,"Why verify the p to pulse of everything,"
Willy hariyadi Willy,Bagus aplikasi,4,4.2.3,2022-10-30 14:00:52,1.0,1.0,1.0,Positif,Good application
Handoko,Bagus,5,4.2.3,2022-09-28 06:55:13,1.0,1.0,1.0,Positif,Good.
tuanwisnue Project,OTP NYA LEMOT! COOLDOWN NYA LELET! SEKALINYA MUNCUL PAS DIINPUT MALAH KODE SALAH! GEMBEL AMAT APLIKASI BIKIN TAMBAH RIBET!👎,1,4.2.3,2022-12-22 07:54:08,-1.0,-1.0,-1.0,Negatif,"Oh, my God, I can't believe it!"
Dedy Wahyudi2510,"Gara"" update ga bisa masuk.. sandi udah benar malah ga bisa masuk .",1,4.2.3,2022-01-04 02:28:00,-1.0,-1.0,-1.0,Negatif,The update couldn't get in. The password was correct. It couldn't get in.
miptahul janah,Mantap..,5,4.3.0,2022-12-31 05:37:04,1.0,1.0,1.0,Positif,That's great.
Reza Diputra,Tidak bisa lihat kartu peserta,1,4.2.3,2022-01-06 01:29:00,-1.0,-1.0,-1.0,Negatif,Can't see attendee card
Sebut Saja (Kumbang),Tifak bisa update kepesertaan,3,4.3.0,2023-01-18 01:33:00,-1.0,-1.0,1.0,Negatif,We can't update the participants.
Yefri Day,Aplikasi JKN sangat membantu dalam urusan-urusan kesehatan,5,4.2.3,2022-12-08 01:57:32,1.0,1.0,1.0,Positif,JKN applications are very helpful in health matters
Herry Prasetyo,Good very good,5,4.2.3,2022-01-28 06:43:00,1.0,1.0,1.0,Positif,Good very good
saiyid effendy,Mantaab Guys...,5,4.2.3,2022-12-21 07:50:56,1.0,1.0,1.0,Positif,Mantaab Guys...
Rianto rian,Tidak bisa mengisi Alamat,3,4.3.0,2023-01-22 03:20:10,1.0,-1.0,-1.0,Negatif,Could not fill Address
Herdy Ansyah,Kokok,5,4.2.3,2022-01-04 13:33:00,1.0,0.0,1.0,Positif,"Cockoks. - Oh, my God, oh, oh, my God, oh, my God, oh, my God, oh, oh, my God, oh, oh, my God, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh"
miftachu rochman,Bagus,5,4.2.3,2022-12-06 01:32:00,1.0,1.0,1.0,Positif,Good.
Wendi Febrian,snagat baik dan bagus,5,4.3.0,2023-01-09 01:06:00,1.0,1.0,1.0,Positif,Good and good.
Irul Irul,mantap,5,4.2.3,2022-01-26 01:38:00,1.0,1.0,1.0,Positif,"It's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's all right, it's good, it's all right, it's all right, it's all right, it's all right, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good. it's good, it's good, it's good, it's good. it's good, it's good it's good it's good, it's good it's good, it's good it's good it's good it's good, it's good it's good, it's good, it's good it's good it's good it's good it's good it's good, it's good, it's good. it's good, it's good. it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good"
Tuti Herawati,gimana mau daftar sedangkan kode verifikasi no hp lama sampai ngulang 3x masih belum masuk kodenya. pulsa sudah ada tetap saja lama,1,4.2.3,2022-12-05 10:19:42,-1.0,-1.0,-1.0,Negatif,"fontcolor="" # FFFF00""howtolist fontcolor="" # FFFF00""whilerecognitioncodesof longphones toreback 3x fontcolor="" # FFFF00""stillnotindependent. The pulsehasbeena fontcolor="" # FFFF00""remaind fontcolor="" # FFFF00""remains fontcolor="" # FFFF00""remains fontcolor="" # FFFF00"""
Niezha Azh,Puas banget,2,4.2.3,2022-01-16 01:26:00,1.0,1.0,1.0,Positif,It's been a pleasure.
Willy Budi Kesuma,ok,5,4.2.3,2022-10-17 03:26:09,1.0,1.0,1.0,Positif,Okay.
suparddin naila,Sangat mudah,5,4.3.0,2023-01-23 18:57:29,1.0,1.0,1.0,Positif,"It's so easy, it's so easy, it's so easy, it's so easy, it's so easy, it's so easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy, it's easy"
Hensa pesut,Bagus...sangat membantu sekali,5,4.2.3,2022-12-08 07:25:42,1.0,1.0,1.0,Positif,That's great. That's very helpful.
Gigih Handoyo,So helpful. Thanks Pak Jokowi.,5,4.2.3,2022-01-23 06:25:00,1.0,1.0,1.0,Positif,Thanks Mr. Jokowi.
Dien Novita,Mempermudah pengguna,5,4.3.0,2023-01-19 10:06:34,1.0,1.0,1.0,Positif,Make it easier on the user
Safwan Kamil,Cukup mudah dimergerti,5,4.2.3,2022-01-04 03:13:00,1.0,1.0,1.0,Positif,It's easy to understand.
Republic Of Kentang,baru pengen daftar aja udh eror kalo gk bisa buat aplikasi gk usah soksokan buat aplikasi !!!,1,4.2.3,2022-01-04 13:35:00,-1.0,-1.0,-1.0,Negatif,"fontcolor="" # FFFF00""justwanttolist fontcolor="" # FFFF00""dhnor ifyoucannotmakethe application fontcolor="" # FFFF00""notsociateforthe application !!!"
